decimal, binary
20764, 101000100011100
28713, 111000000101001
23138, 101101001100010
391, 110000111
30651, 111011110111011
55031, 1101011011110111
39524, 1001101001100100
13812, 11010111110100
29881, 111010010111001
46207, 1011010001111111
21407, 101001110011111
51663, 1100100111001111
38298, 1001010110011010
18048, 100011010000000
50268, 1100010001011100
43306, 1010100100101010
22189, 101011010101101
5342, 1010011011110
30479, 111011100001111
15170, 11101101000010
31642, 111101110011010
25327, 110001011101111
13272, 11001111011000
48187, 1011110000111011
62522, 1111010000111010
16262, 11111110000110
50699, 1100011000001011
19862, 100110110010110
12550, 11000100000110
30434, 111011011100010
8779, 10001001001011
63942, 1111100111000110
57245, 1101111110011101
23597, 101110000101101
969, 1111001001
31862, 111110001110110
42330, 1010010101011010
5683, 1011000110011
15679, 11110100111111
17688, 100010100011000
24033, 101110111100001
26943, 110100100111111
3842, 111100000010
38189, 1001010100101101
6346, 1100011001010
37021, 1001000010011101
19598, 100110010001110
9996, 10011100001100
38717, 1001011100111101
31504, 111101100010000
889, 1101111001
19630, 100110010101110
19837, 100110101111101
7289, 1110001111001
10664, 10100110101000
55916, 1101101001101100
35886, 1000110000101110
51128, 1100011110111000
52422, 1100110011000110
55900, 1101101001011100
50332, 1100010010011100
16290, 11111110100010
45151, 1011000001011111
36872, 1001000000001000
54351, 1101010001001111
9828, 10011001100100
32019, 111110100010011
42482, 1010010111110010
63512, 1111100000011000
5989, 1011101100101
36505, 1000111010011001
15905, 11111000100001
61567, 1111000001111111
43587, 1010101001000011
41259, 1010000100101011
44317, 1010110100011101
52798, 1100111000111110
61630, 1111000010111110
47289, 1011100010111001
3276, 110011001100
39869, 1001101110111101
13692, 11010101111100
47064, 1011011111011000
5907, 1011100010011
57358, 1110000000001110
4760, 1001010011000
64941, 1111110110101101
64779, 1111110100001011
47638, 1011101000010110
15519, 11110010011111
50344, 1100010010101000
32654, 111111110001110
63213, 1111011011101101
40877, 1001111110101101
7879, 1111011000111
52433, 1100110011010001
36329, 1000110111101001
33012, 1000000011110100
44437, 1010110110010101
5723, 1011001011011
60933, 1110111000000101
54371, 1101010001100011
63727, 1111100011101111
6562, 1100110100010
14576, 11100011110000
38202, 1001010100111010
31737, 111101111111001
38264, 1001010101111000
53672, 1101000110101000
27750, 110110001100110
36833, 1000111111100001
14284, 11011111001100
56560, 1101110011110000
52756, 1100111000010100
27825, 110110010110001
33568, 1000001100100000
38134, 1001010011110110
24604, 110000000011100
32891, 1000000001111011
42055, 1010010001000111
7820, 1111010001100
57156, 1101111101000100
42637, 1010011010001101
8071, 1111110000111
41272, 1010000100111000
56267, 1101101111001011
11847, 10111001000111
30311, 111011001100111
45209, 1011000010011001
21838, 101010101001110
42899, 1010011110010011
46143, 1011010000111111
60265, 1110101101101001
21427, 101001110110011
20058, 100111001011010
43168, 1010100010100000
22071, 101011000110111
20559, 101000001001111
17991, 100011001000111
49793, 1100001010000001
57186, 1101111101100010
31261, 111101000011101
42667, 1010011010101011
23034, 101100111111010
48805, 1011111010100101
37964, 1001010001001100
33140, 1000000101110100
43766, 1010101011110110
33943, 1000010010010111
33476, 1000001011000100
13439, 11010001111111
33365, 1000001001010101
17237, 100001101010101
47151, 1011100000101111
34749, 1000011110111101
48523, 1011110110001011
45876, 1011001100110100
42810, 1010011100111010
55113, 1101011101001001
65178, 1111111010011010
38440, 1001011000101000
54168, 1101001110011000
5606, 1010111100110
39910, 1001101111100110
39386, 1001100111011010
6393, 1100011111001
22816, 101100100100000
32523, 111111100001011
19340, 100101110001100
61169, 1110111011110001
61056, 1110111010000000
10244, 10100000000100
3341, 110100001101
44512, 1010110111100000
10187, 10011111001011
45178, 1011000001111010
19087, 100101010001111
38215, 1001010101000111
65214, 1111111010111110
50903, 1100011011010111
31185, 111100111010001
1199, 10010101111
7517, 1110101011101
49473, 1100000101000001
10159, 10011110101111
15890, 11111000010010
56107, 1101101100101011
11250, 10101111110010
52785, 1100111000110001
2046, 11111111110
20589, 101000001101101
63982, 1111100111101110
53771, 1101001000001011
61360, 1110111110110000
6141, 1011111111101
63258, 1111011100011010
21761, 101010100000001
30493, 111011100011101
12083, 10111100110011
18482, 100100000110010
39659, 1001101011101011
16330, 11111111001010
40028, 1001110001011100
43725, 1010101011001101
57718, 1110000101110110
42563, 1010011001000011
58725, 1110010101100101
64716, 1111110011001100
48170, 1011110000101010
55080, 1101011100101000
29271, 111001001010111
19538, 100110001010010
57865, 1110001000001001
32802, 1000000000100010
65320, 1111111100101000
12341, 11000000110101
48054, 1011101110110110
61649, 1111000011010001
60572, 1110110010011100
8229, 10000000100101
5650, 1011000010010
24353, 101111100100001
24049, 101110111110001
25142, 110001000110110
62685, 1111010011011101
60769, 1110110101100001
24682, 110000001101010
867, 1101100011
63750, 1111100100000110
33761, 1000001111100001
19449, 100101111111001
6983, 1101101000111
49806, 1100001010001110
33380, 1000001001100100
10627, 10100110000011
59250, 1110011101110010
5857, 1011011100001
23166, 101101001111110
64851, 1111110101010011
5586, 1010111010010
59340, 1110011111001100
30863, 111100010001111
34317, 1000011000001101
34950, 1000100010000110
17092, 100001011000100
16854, 100000111010110
5926, 1011100100110
6540, 1100110001100
31811, 111110001000011
51806, 1100101001011110
49062, 1011111110100110
55402, 1101100001101010
30980, 111100100000100
34909, 1000100001011101
56949, 1101111001110101
31883, 111110010001011
26238, 110011001111110
15452, 11110001011100
27686, 110110000100110
30650, 111011110111010
15950, 11111001001110
